Position,Win Probability,Average Score
|   |   |   | 4 | 5 |   | 7 | 8 | 9 |,0.0107739,23.8411
|   |   |   | 4 | 5 | 6 |   | 8 | 9 |,0.0125553,22.1608
|   |   |   | 4 | 5 | 6 | 7 |   | 9 |,0.0174897,20.5581
|   |   |   | 4 | 5 | 6 | 7 | 8 | 9 |,0.0132538,23.2407
| 1 | 2 |   |   |   |   |   |   |   |,0.0601852,2.77315
|   | 2 |   |   |   |   |   |   |   |,0.027778,1.944444
| 1 | 2 |   |   |   |   |   |   | 9 |,0.0550412,8.85391
| 1 | 2 |   |   |   |   |   | 8 |   |,0.0923354,7.04964
|   | 2 |   |   |   |   |   | 8 |   |,0.0910494,7.96142
| 1 | 2 |   |   |   |   |   | 8 | 9 |,0.0396519,14.4637
|   | 2 |   |   |   |   |   |   | 9 |,0.0617284,9.29938
| 1 | 2 |   |   |   |   | 7 |   |   |,0.12963,5.47377
|   | 2 |   |   |   |   | 7 |   |   |,0.12037,6.73611
| 1 | 2 |   |   |   |   | 7 |   | 9 |,0.059928,11.8363
| 1 | 2 |   |   |   |   | 7 | 8 |   |,0.074267,11.0008
|   | 2 |   |   |   |   | 7 | 8 |   |,0.0625,11.8855
| 1 | 2 |   |   |   |   | 7 | 8 | 9 |,0.0348365,17.8934
|   | 2 |   |   |   |   |   | 8 | 9 |,0.0365226,14.7152
| 1 | 2 |   |   |   | 6 |   |   |   |,0.160237,4.50026
|   | 2 |   |   |   | 6 |   |   |   |,0.146605,5.96914
| 1 | 2 |   |   |   | 6 |   |   | 9 |,0.0800326,9.8654
| 1 | 2 |   |   |   | 6 |   | 8 |   |,0.094543,9.00731
|   | 2 |   |   |   | 6 |   | 8 |   |,0.0456533,12.4705
| 1 | 2 |   |   |   | 6 |   | 8 | 9 |,0.0443482,15.3449
|   | 2 |   |   |   | 6 |   |   | 9 |,0.0488683,12.6845
| 1 | 2 |   |   |   | 6 | 7 |   |   |,0.102366,8.6427
|   | 2 |   |   |   | 6 | 7 |   |   |,0.0810185,9.86188
| 1 | 2 |   |   |   | 6 | 7 |   | 9 |,0.0538409,13.9918
| 1 | 2 |   |   |   | 6 | 7 | 8 |   |,0.0601709,13.4673
|   | 2 |   |   |   | 6 | 7 | 8 |   |,0.0362226,15.4343
| 1 | 2 |   |   |   | 6 | 7 | 8 | 9 |,0.0331052,19.4486
|   | 2 |   |   |   |   | 7 |   | 9 |,0.0339506,14.4985
|   | 2 |   |   |   |   | 7 | 8 | 9 |,0.023834,18.9828
| 1 | 2 |   |   | 5 |   |   |   |   |,0.187757,3.98045
|   | 2 |   |   | 5 |   |   |   |   |,0.17284,5.20062
