Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 4 7,0.101852,7.36111,Yes,N/A,N/A,N/A,4,1 4,N/A,7,1 7,N/A,N/A,4 7,1 4 7
4 7,0.0833333,8.73611,Yes,N/A,N/A,N/A,4,N/A,N/A,7,N/A,N/A,N/A,4 7,N/A
1 4 7 9,0.0460391,12.8166,Yes,N/A,N/A,N/A,4,1 4,N/A,7,1 7,9,1 9,4 7,1 4 7
1 4 7 8,0.0556199,12.5449,Yes,N/A,N/A,N/A,4,1 4,N/A,7,8,1 8,N/A,4 7,4 8
4 7 8,0.0362654,14.4977,Yes,N/A,N/A,N/A,4,N/A,N/A,7,8,N/A,N/A,4 7,4 8
1 4 7 8 9,0.0279492,18.4345,Yes,N/A,N/A,N/A,4,1 4,N/A,7,8,9,1 9,4 7,4 8
4 8 9,0.0138889,17.5818,Yes,N/A,N/A,N/A,4,N/A,N/A,N/A,8,9,N/A,N/A,4 8
1 4 6,0.131944,6.21065,Yes,N/A,N/A,N/A,4,1 4,6,1 6,N/A,N/A,4 6,1 4 6,N/A
1 4 6 9,0.0470679,12.6409,Yes,N/A,N/A,N/A,4,1 4,6,1 6,N/A,9,4 6,1 4 6,N/A
4 6,0.106481,7.88426,Yes,N/A,N/A,N/A,4,N/A,6,N/A,N/A,N/A,4 6,N/A,N/A
1 4 6 8,0.0821116,9.5188,Yes,N/A,N/A,N/A,4,1 4,6,1 6,8,1 8,4 6,1 4 6,4 8
1 4 6 8 9,0.0326432,16.1972,Yes,N/A,N/A,N/A,4,1 4,6,1 6,8,9,4 6,1 4 6,4 8
4 6 9,0.0262346,15.3076,Yes,N/A,N/A,N/A,4,N/A,6,N/A,N/A,9,4 6,N/A,N/A
1 4 6 7,0.090535,9.57883,Yes,N/A,N/A,N/A,4,1 4,6,7,1 7,N/A,4 6,4 7,1 4 7
1 4 6 7 9,0.0425669,14.6451,Yes,N/A,N/A,N/A,4,1 4,6,7,1 7,9,4 6,4 7,1 4 7
4 6 7,0.054784,12.2199,Yes,N/A,N/A,N/A,4,N/A,6,7,N/A,N/A,4 6,4 7,N/A
1 4 6 7 8,0.0574417,13.194,Yes,N/A,N/A,N/A,4,1 4,6,7,8,1 8,4 6,4 7,4 8
1 4 6 7 8 9,0.029271,19.0819,Yes,N/A,N/A,N/A,4,1 4,6,7,8,9,4 6,4 7,4 8
4 7 9,0.0216049,16.1343,Yes,N/A,N/A,N/A,4,N/A,N/A,7,N/A,9,N/A,4 7,N/A
4 7 8 9,0.0133745,21.2784,Yes,N/A,N/A,N/A,4,N/A,N/A,7,8,9,N/A,4 7,4 8
1 4 5,0.140432,6.16204,Yes,N/A,N/A,N/A,4,5,1 5,N/A,N/A,4 5,1 4 5,N/A,N/A
4 5,0.12963,7.02778,Yes,N/A,N/A,N/A,4,5,N/A,N/A,N/A,4 5,N/A,N/A,N/A
1 4 5 9,0.0380658,13.9914,Yes,N/A,N/A,N/A,4,5,1 5,N/A,N/A,9,1 9,N/A,N/A
1 4 5 8,0.069573,11.0638,Yes,N/A,N/A,N/A,4,5,1 5,N/A,8,4 5,1 4 5,N/A,4 8
4 5 8,0.0447531,12.8853,Yes,N/A,N/A,N/A,4,5,N/A,N/A,8,4 5,N/A,N/A,4 8
1 4 5 8 9,0.0252629,18.4516,Yes,N/A,N/A,N/A,4,5,1 5,N/A,8,9,1 9,N/A,4 8
4 5 9,0.0185185,15.5864,Yes,N/A,N/A,N/A,4,5,N/A,N/A,N/A,9,N/A,N/A,N/A
1 4 5 7,0.116255,7.62757,Yes,N/A,N/A,N/A,4,5,1 5,7,1 7,4 5,1 4 5,4 7,5 7
4 5 7,0.0632716,11.0602,Yes,N/A,N/A,N/A,4,5,N/A,7,N/A,4 5,N/A,4 7,5 7
1 4 5 7 9,0.0429098,14.1607,Yes,N/A,N/A,N/A,4,5,1 5,7,1 7,9,1 9,4 7,5 7
1 4 5 7 8,0.0601852,12.653,Yes,N/A,N/A,N/A,4,5,1 5,7,8,4 5,1 4 5,4 7,4 8
4 5 7 8,0.0308642,16.215,Yes,N/A,N/A,N/A,4,5,N/A,7,8,4 5,N/A,4 7,4 8
