Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
| 1 |   |   | 4 |   |   |   | 8 |   |,0.0578704,9.1983,N/A,N/A,N/A,4,1 4,N/A,N/A,8,1 8,N/A,N/A,4 8
|   |   |   | 4 |   |   |   | 8 |   |,0.0509259,10.0833,N/A,N/A,N/A,4,N/A,N/A,N/A,8,N/A,N/A,N/A,4 8
| 1 |   |   | 4 |   |   |   | 8 | 9 |,0.026106,16.209,N/A,N/A,N/A,4,1 4,N/A,N/A,8,9,1 9,N/A,4 8
|   |   |   | 4 |   |   |   |   | 9 |,0.0185185,11.5463,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A
| 1 |   |   | 4 |   |   | 7 |   |   |,0.101852,7.36111,N/A,N/A,N/A,4,1 4,N/A,7,1 7,N/A,N/A,4 7,1 4 7
|   |   |   | 4 |   |   | 7 |   |   |,0.0833333,8.73611,N/A,N/A,N/A,4,N/A,N/A,7,N/A,N/A,N/A,4 7,N/A
| 1 |   |   | 4 |   |   | 7 |   | 9 |,0.0460391,12.8166,N/A,N/A,N/A,4,1 4,N/A,7,1 7,9,1 9,4 7,1 4 7
| 1 |   |   | 4 |   |   | 7 | 8 |   |,0.0556199,12.5449,N/A,N/A,N/A,4,1 4,N/A,7,8,1 8,N/A,4 7,4 8
|   |   |   | 4 |   |   | 7 | 8 |   |,0.0362654,14.4977,N/A,N/A,N/A,4,N/A,N/A,7,8,N/A,N/A,4 7,4 8
| 1 |   |   | 4 |   |   | 7 | 8 | 9 |,0.0279492,18.4345,N/A,N/A,N/A,4,1 4,N/A,7,8,9,1 9,4 7,4 8
|   |   |   | 4 |   |   |   | 8 | 9 |,0.0138889,17.5818,N/A,N/A,N/A,4,N/A,N/A,N/A,8,9,N/A,N/A,4 8
| 1 |   |   | 4 |   | 6 |   |   |   |,0.131944,6.21065,N/A,N/A,N/A,4,1 4,6,1 6,N/A,N/A,4 6,1 4 6,N/A
|   |   |   | 4 |   | 6 |   |   |   |,0.106481,7.88426,N/A,N/A,N/A,4,N/A,6,N/A,N/A,N/A,4 6,N/A,N/A
| 1 |   |   | 4 |   | 6 |   |   | 9 |,0.0474537,12.6189,N/A,N/A,N/A,4,1 4,6,1 6,N/A,9,1 9,1 4 6,N/A
| 1 |   |   | 4 |   | 6 |   | 8 |   |,0.0821116,9.5188,N/A,N/A,N/A,4,1 4,6,1 6,8,1 8,4 6,1 4 6,4 8
|   |   |   | 4 |   | 6 |   | 8 |   |,0.0405093,13.6952,N/A,N/A,N/A,4,N/A,6,N/A,8,N/A,4 6,N/A,4 8
| 1 |   |   | 4 |   | 6 |   | 8 | 9 |,0.032686,16.1297,N/A,N/A,N/A,4,1 4,6,1 6,8,9,1 9,1 4 6,4 8
|   |   |   | 4 |   | 6 |   |   | 9 |,0.0262346,15.3076,N/A,N/A,N/A,4,N/A,6,N/A,N/A,9,4 6,N/A,N/A
