Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
2 3 5 6 7 8,0.0270648,17.4032,No,N/A,2,3,N/A,2 3,6,2 5,3 5,3 6,2 3 5,2 3 6,2 3 7
1 2 5 7 8,0.0514296,12.6016,No,N/A,2,1 2,N/A,5,1 5,2 5,1 2 5,2 7,1 2 7,1 2 8,5 7
2 4 7,0.070216,8.34028,No,N/A,2,N/A,4,N/A,2 4,7,N/A,2 7,N/A,4 7,N/A
1 2 5,0.187757,3.98045,No,N/A,2,1 2,N/A,5,1 5,2 5,1 2 5,N/A,N/A,N/A,N/A
1 2 3 4 5,0.134805,5.59247,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 3 5,1 2 4 5
1 2 4,0.206019,3.79707,No,N/A,2,1 2,4,1 4,2 4,1 2 4,N/A,N/A,N/A,N/A,N/A
1 4 7 8,0.0474537,12.97,No,N/A,N/A,N/A,4,1 4,N/A,7,1 7,1 8,N/A,4 7,1 4 7
3 4,0.175926,5.30093,No,N/A,N/A,3,4,N/A,N/A,3 4,N/A,N/A,N/A,N/A,N/A
1 2,0.0601852,2.77315,No,N/A,2,1 2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2 3 4 5 6 7 8,0.027047,17.1647,No,N/A,2,3,4,2 3,2 4,3 4,3 5,2 3 4,2 3 5,2 4 5,3 4 5
1 2 4 5 6 7,0.0601886,11.7257,No,N/A,2,1 2,4,1 4,2 4,1 2 4,1 2 5,4 5,1 4 5,2 4 5,1 2 4 5
2 3 4 5 6,0.0897554,8.26037,No,N/A,2,3,4,2 3,2 4,3 4,3 5,2 3 4,2 3 5,2 4 5,3 4 5
2 3 4 6 7,0.0689193,10.1073,No,N/A,2,3,4,2 3,2 4,3 4,2 6,2 3 4,4 6,2 3 6,2 4 6
2 3 4 5,0.127158,5.17617,No,N/A,2,3,4,2 3,2 4,3 4,3 5,2 3 4,2 3 5,2 4 5,3 4 5
3 4 8,0.0625,10.5625,No,N/A,N/A,3,4,N/A,N/A,3 4,8,N/A,N/A,3 8,4 8
1 2 4 6 8,0.0652095,10.1878,No,N/A,2,1 2,4,1 4,2 4,1 2 4,2 6,1 2 6,4 6,1 4 6,2 4 6
1 2 3 4 8,0.08875,8.47037,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 8,1 3 8
2 3 4 7 8,0.0565725,11.6095,No,N/A,2,3,4,2 3,2 4,3 4,8,2 3 4,3 7,4 7,2 3 7
2 3 4 8,0.102023,7.54936,No,N/A,2,3,4,2 3,2 4,3 4,8,2 3 4,2 8,3 8,4 8
3 5 6 7,0.0625857,11.0969,No,N/A,N/A,3,N/A,5,6,7,3 5,3 6,3 7,5 6,5 7
2 4 5 6 8,0.0377852,14.0495,No,N/A,2,N/A,4,5,2 4,2 5,2 6,4 5,4 6,2 4 5,2 4 6
1 2 3,0.165381,4.009,No,N/A,2,1 2,1 3,2 3,1 2 3,N/A,N/A,N/A,N/A,N/A,N/A
2 4 6,0.0761317,8.10532,No,N/A,2,N/A,4,N/A,2 4,N/A,2 6,N/A,4 6,N/A,2 4 6
2 5 6 8,0.0380754,13.7998,No,N/A,2,N/A,N/A,5,6,2 5,2 6,N/A,2 8,5 6,N/A
1 2 3 6 7,0.0926926,8.33435,No,N/A,2,1 2,1 3,2 3,1 2 3,1 6,2 6,1 2 6,1 3 6,2 3 6,1 2 3 6
3 4 5 6 8,0.0396599,13.7443,No,N/A,N/A,3,4,5,6,3 4,3 5,4 5,4 6,5 6,3 4 5
2 4 5 7 8,0.0440315,13.8258,No,N/A,2,N/A,4,5,2 4,2 5,8,4 5,2 8,2 4 5,5 7
3 4 6 8,0.0535837,11.7514,No,N/A,N/A,3,4,N/A,6,3 4,8,3 6,4 6,3 8,4 8
2 5 6 7,0.0550269,12.0021,No,N/A,2,N/A,N/A,5,6,2 5,2 6,2 7,N/A,5 6,5 7
2 3 6 7,0.0941787,8.40552,No,N/A,2,3,N/A,2 3,6,7,2 6,3 6,3 7,2 3 6,2 3 7
2 3 6,0.109311,6.26535,No,N/A,2,3,N/A,2 3,6,N/A,2 6,3 6,N/A,2 3 6,N/A
1 2 3 8,0.0950574,6.97126,No,N/A,2,1 2,1 3,2 3,1 2 3,N/A,8,1 8,2 8,1 2 8,1 3 8
2 6 7,0.0810185,9.86188,No,N/A,2,N/A,N/A,N/A,6,7,2 6,2 7,N/A,N/A,N/A
2 4,0.143519,4.76389,No,N/A,2,N/A,4,N/A,2 4,N/A,N/A,N/A,N/A,N/A,N/A
3 5 6,0.0745885,8.92353,No,N/A,N/A,3,N/A,5,6,N/A,3 5,3 6,N/A,5 6,N/A
2 4 8,0.0559414,9.92155,No,N/A,2,N/A,4,N/A,2 4,N/A,8,N/A,2 8,N/A,4 8
2 4 7 8,0.0527263,11.9017,No,N/A,2,N/A,4,N/A,2 4,7,8,2 7,2 8,4 7,4 8
1 3 4 5 6 8,0.0419428,13.7972,No,N/A,N/A,3,1 3,1 4,1 5,3 4,1 3 4,1 3 5,1 4 5,1 4 6,3 4 5
2 3 5 6,0.111706,7.4999,No,N/A,2,3,N/A,2 3,6,2 5,3 5,3 6,2 3 5,2 3 6,N/A
2 3 4 6 8,0.0482017,11.884,No,N/A,2,3,4,2 3,2 4,3 4,2 6,2 3 4,4 6,2 3 6,2 4 6
2 4 5 8,0.0762174,9.44483,No,N/A,2,N/A,4,5,2 4,2 5,8,4 5,2 8,2 4 5,4 8
2 4 5,0.121914,5.96348,No,N/A,2,N/A,4,5,2 4,2 5,N/A,4 5,N/A,2 4 5,N/A
