Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
5 6 9,0.0226337,16.2339,N/A,N/A,N/A,N/A,5,6,N/A,N/A,9,N/A,5 6,N/A
5 6 8,0.0282922,15.0204,N/A,N/A,N/A,N/A,5,6,N/A,8,N/A,N/A,5 6,N/A
5 6 8 9,0.0108596,21.8996,N/A,N/A,N/A,N/A,5,6,N/A,8,9,N/A,5 6,N/A
5 6 7,0.0416667,13.4784,N/A,N/A,N/A,N/A,5,6,7,N/A,N/A,N/A,5 6,5 7
5 6 7 9,0.0156036,20.1963,N/A,N/A,N/A,N/A,5,6,7,N/A,9,N/A,5 6,5 7
5 6 7 8,0.0195045,18.8558,N/A,N/A,N/A,N/A,5,6,7,8,N/A,N/A,5 6,5 7
1 5 6 7 8 9,0.0102326,24.1437,N/A,N/A,N/A,N/A,5,1 5,1 6,1 7,1 8,1 9,5 6,1 5 6
5 6 7 8 9,0.00962125,24.7111,N/A,N/A,N/A,N/A,5,6,7,8,9,N/A,5 6,5 7
4,0.0833333,3.66667,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4 9,0.0185185,11.5463,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A
4 8,0.0509259,10.0833,N/A,N/A,N/A,4,N/A,N/A,N/A,8,N/A,N/A,N/A,4 8
4 8 9,0.0138889,17.5818,N/A,N/A,N/A,4,N/A,N/A,N/A,8,9,N/A,N/A,4 8
4 7,0.0833333,8.73611,N/A,N/A,N/A,4,N/A,N/A,7,N/A,N/A,N/A,4 7,N/A
4 7 9,0.0216049,16.1343,N/A,N/A,N/A,4,N/A,N/A,7,N/A,9,N/A,4 7,N/A
4 7 8,0.0362654,14.4977,N/A,N/A,N/A,4,N/A,N/A,7,8,N/A,N/A,4 7,4 8
4 7 8 9,0.0133745,21.2784,N/A,N/A,N/A,4,N/A,N/A,7,8,9,N/A,4 7,4 8
4 6,0.106481,7.88426,N/A,N/A,N/A,4,N/A,6,N/A,N/A,N/A,4 6,N/A,N/A
4 6 9,0.0262346,15.3076,N/A,N/A,N/A,4,N/A,6,N/A,N/A,9,4 6,N/A,N/A
4 6 8,0.0405093,13.6952,N/A,N/A,N/A,4,N/A,6,N/A,8,N/A,4 6,N/A,4 8
4 6 8 9,0.0145748,20.5173,N/A,N/A,N/A,4,N/A,6,N/A,8,9,4 6,N/A,4 8
4 6 7,0.054784,12.2199,N/A,N/A,N/A,4,N/A,6,7,N/A,N/A,4 6,4 7,N/A
4 6 7 9,0.0195473,18.8903,N/A,N/A,N/A,4,N/A,6,7,N/A,9,4 6,4 7,N/A
4 6 7 8,0.0282922,17.0184,N/A,N/A,N/A,4,N/A,6,7,8,N/A,4 6,4 7,4 8
4 6 7 8 9,0.0132888,22.68,N/A,N/A,N/A,4,N/A,6,7,8,9,4 6,4 7,4 8
4 5 9,0.0164609,15.6944,N/A,N/A,N/A,4,5,N/A,N/A,N/A,4 5,N/A,N/A,N/A
