Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 7 8,0.0640432,11.9167,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,N/A,N/A,N/A
1 7 8 12,0.00533693,23.2819,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,N/A,N/A,12
7 8,0.0462963,12.375,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,N/A
1 7 8 11,0.0145319,21.1907,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,N/A,11,1 11
1 7 8 11 12,0.00140032,32.971,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,N/A,11,12
7 8 12,0.00385802,23.8418,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,N/A,12
1 7 8 10,0.0237269,19.259,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,10,1 10,N/A
1 7 8 10 12,0.00263632,30.4113,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,10,1 10,12
7 8 10,0.0115741,21.0008,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,10,N/A,N/A
1 7 8 10 11,0.0057013,29.0845,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,10,11,1 11
1 7 8 10 11 12,0.000702542,40.791,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,1 8,10,11,12
7 8 11,0.00771605,22.3837,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,11,N/A
7 8 11 12,0.000857339,33.7782,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,N/A,N/A,11,12
1 7 8 9,0.026749,18.9456,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,1 9,N/A,N/A
1 7 8 9 12,0.00297211,30.1381,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,1 9,N/A,12
7 8 9,0.0154321,19.6929,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,N/A,N/A,N/A
1 7 8 9 11,0.00765889,27.7574,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,1 9,11,1 11
1 7 8 9 11 12,0.00094466,39.458,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,1 9,11,12
7 8 9 12,0.00171468,31.0258,Yes,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,N/A,N/A,12
