Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1 2 4 6 7 10 11 12 13,0.00343892,41.1758,No,N/A,2,1 2,4,1 4,2 4,1 2 4,2 6,1 2 6,4 6,1 4 6,2 4 6,1 2 4 6,1 2 4 7,2 6 7,1 2 6 7,4 6 7,1 4 6 7
2 3 4 5 12,0.0457766,14.4595,No,N/A,2,3,4,2 3,2 4,3 4,3 5,2 3 4,2 3 5,2 4 5,3 4 5,N/A,2 3 4 5,3 12,4 12,2 3 12,2 4 12
2 3 8 11,0.0488826,16.3344,No,N/A,2,3,N/A,2 3,N/A,N/A,8,N/A,2 8,3 8,N/A,2 3 8,3 11,N/A,2 3 11,N/A,N/A
2 4 9 10 11 12,0.0116671,31.709,No,N/A,2,N/A,4,N/A,2 4,N/A,N/A,9,10,2 9,2 10,4 9,4 10,2 4 9,2 4 10,2 4 11,2 4 12
1 2 3 4 7 8 11 12,0.0138777,27.4217,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 3 7,2 3 7,1 2 3 7,1 2 4 7,1 3 4 7,2 3 4 7,1 2 3 4 7,1 2 3 4 8
1 2 4 7 8,0.10431,8.56025,No,N/A,2,1 2,4,1 4,2 4,1 2 4,1 7,2 7,1 2 7,4 7,1 4 7,2 4 7,1 2 4 7,1 2 4 8,1 7 8,2 7 8,1 2 7 8
1 3 4 6 7 8 9 10,0.0197583,23.6548,No,N/A,N/A,3,1 3,1 4,6,3 4,1 3 4,3 6,1 3 6,1 4 6,1 4 7,3 4 6,1 3 4 6,1 3 4 7,3 6 7,1 3 6 7,1 4 6 7
1 2 3 4 9 10 12,0.0227857,22.3253,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,2 9,1 2 9,1 3 9,2 3 9,1 2 3 9,1 2 4 9,1 3 4 9,2 3 4 9
1 2 3 4 8 11 12,0.0186161,23.5112,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 8,1 3 8,2 3 8,1 2 3 8,1 2 4 8,1 3 4 8,2 3 4 8,1 2 3 4 8
2 3 5 10 12,0.0187446,22.2069,No,N/A,2,3,N/A,2 3,N/A,2 5,3 5,N/A,2 3 5,N/A,2 10,3 10,2 12,2 3 10,N/A,2 5 10,3 5 10
1 2 4 5 10 12 13,0.0109671,28.8462,No,N/A,2,1 2,4,1 4,2 4,1 2 4,1 2 5,4 5,1 4 5,2 4 5,1 2 4 5,1 2 10,4 10,1 4 10,2 4 10,1 2 4 10,1 2 5 10
2 4 5 7 8 9 12 13,0.00535071,36.5163,No,N/A,2,N/A,4,5,2 4,2 5,8,4 5,2 8,2 4 5,5 7,2 4 7,2 5 7,2 5 8,4 5 7,4 5 8,2 4 5 7
1 2 4 6 7 11 12 13,0.00536083,35.2929,No,N/A,2,1 2,4,1 4,2 4,1 2 4,2 6,1 2 6,4 6,1 4 6,2 4 6,1 2 4 6,1 2 4 7,2 6 7,1 2 6 7,4 6 7,1 4 6 7
1 3 4 5 6 8 9 10 11,0.0112252,29.771,No,N/A,N/A,3,1 3,1 4,1 5,3 4,1 3 4,1 3 5,1 4 5,1 4 6,3 4 5,1 3 4 5,1 3 4 6,1 3 5 6,1 4 5 6,1 3 5 8,3 4 5 6
3 4 5 6 7 8 9 10 11,0.00997727,30.9442,No,N/A,N/A,3,4,5,6,3 4,3 5,4 5,4 6,5 6,3 4 5,3 4 6,3 5 6,4 5 6,4 5 7,4 6 7,3 4 5 6
1 2 3 4 6 10 11 13,0.0100847,30.1791,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,2 3 6,1 2 3 6,1 2 4 6,1 3 4 6,2 3 4 6,1 2 3 4 6,1 2 4 10,1 3 4 10
1 5 7 8 10 11 13,0.00691469,33.5484,No,N/A,N/A,N/A,N/A,5,1 5,7,1 7,1 8,10,1 10,5 7,1 5 7,1 5 8,7 8,1 7 8,7 10,1 7 10
1 2 3 4 5 6 9 11 12,0.0102104,30.0364,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 2 3 5,1 2 4 5,1 3 4 5,2 3 4 5,1 2 3 4 5,1 2 3 4 6,1 2 3 5 6,1 2 4 5 6
2 3 6 7 8 9 11 13,0.0062782,34.9289,No,N/A,2,3,N/A,2 3,6,7,2 6,3 6,3 7,2 3 6,2 3 7,6 7,6 8,2 6 7,3 6 7,3 6 8,2 3 6 7
1 2 3 4 10 12 13,0.0113899,27.2661,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 10,2 10,1 2 10,1 3 10,2 3 10,1 2 3 10,1 2 4 10,1 3 4 10
3 4 5 6 8 11 12 13,0.0041913,39.1361,No,N/A,N/A,3,4,5,6,3 4,3 5,4 5,4 6,5 6,3 4 5,3 4 6,3 5 6,4 5 6,3 5 8,4 5 8,3 4 5 6
2 7 12,0.0364369,16.5758,No,N/A,2,N/A,N/A,N/A,N/A,7,N/A,2 7,N/A,N/A,12,N/A,2 12,N/A,N/A,N/A,N/A
1 2 3 4 7 9 10,0.0397054,17.9219,No,N/A,2,1 2,1 3,2 3,1 2 3,1 2 4,1 3 4,2 3 4,1 2 3 4,1 3 7,2 3 7,1 2 3 7,1 2 4 7,1 3 4 7,2 3 4 7,1 2 3 4 7,2 3 4 9
1 2 4 5 6 8 9 12,0.0194346,24.2491,No,N/A,2,1 2,4,1 4,2 4,1 2 4,1 2 5,4 5,1 4 5,2 4 5,1 2 4 5,1 2 4 6,1 2 5 6,4 5 6,1 4 5 6,2 4 5 6,1 2 4 5 6
1 3 6 7 9 10,0.0376615,18.7195,No,N/A,N/A,3,1 3,N/A,6,1 6,1 7,3 6,1 3 6,1 3 7,3 9,6 7,1 6 7,6 9,3 6 7,1 3 6 7,3 6 9
