Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 11,0.0243056,16.6163,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1 8 11 13,0.0212486,23.7531,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,11,1 11,13,1 13,N/A,N/A,N/A,N/A
1 8 11 12,0.0224498,23.8294,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,11,12,1 12,N/A,N/A,N/A,N/A,N/A
8 11 12,0.00843943,26.5824,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,12,N/A,N/A,N/A,N/A,N/A,N/A
1 8 11 12 13,0.00969631,33.8315,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,11,12,13,1 13,N/A,N/A,N/A,N/A
8 12 13,0.006564,28.7924,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,12,13,N/A,N/A,N/A,N/A,N/A
1 8 10,0.0580633,13.7429,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,N/A,N/A,N/A,N/A,N/A,N/A,8 10
8 10,0.0289352,15.6701,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8 10
1 8 10 13,0.0225668,22.819,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,N/A,13,1 13,N/A,N/A,N/A,8 10
1 8 10 12,0.0280609,21.0792,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,12,1 12,N/A,N/A,N/A,N/A,8 10
8 10 12,0.0095111,25.6374,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,12,N/A,N/A,N/A,N/A,N/A,8 10
1 8 10 12 13,0.0118655,30.644,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,12,13,1 13,N/A,N/A,N/A,8 10
8 10 13,0.00798933,26.841,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,N/A,13,N/A,N/A,N/A,N/A,8 10
1 8 10 11,0.0266311,21.665,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,1 11,N/A,N/A,N/A,N/A,N/A,8 10
8 10 11,0.010272,24.6312,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,N/A,N/A,N/A,N/A,N/A,N/A,8 10
1 8 10 11 13,0.0130065,29.5119,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,1 11,13,1 13,N/A,N/A,N/A,8 10
1 8 10 11 12,0.0139254,29.825,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,12,1 12,N/A,N/A,N/A,N/A,8 10
8 10 11 12,0.00462159,34.0105,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,12,N/A,N/A,N/A,N/A,N/A,8 10
1 8 10 11 12 13,0.0073615,38.6432,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,12,13,1 13,N/A,N/A,N/A,8 10
8 11 13,0.00708912,27.7867,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,N/A,13,N/A,N/A,N/A,N/A,N/A
