Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1 6 11 12 13,0.00693092,33.6122,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,N/A,11,12,13,1 13,N/A,N/A,6 11,6 12
1 6 10,0.0493827,12.5855,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,1 10,N/A,N/A,N/A,N/A,6 10,1 6 10,N/A
1 6 10 13,0.0188722,21.9722,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,1 10,N/A,13,1 13,N/A,6 10,1 6 10,N/A
1 6 10 12,0.0251307,20.1735,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,1 10,12,1 12,N/A,N/A,6 10,1 6 10,6 12
1 6 10 12 13,0.00995287,30.0673,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,1 10,12,13,1 13,N/A,6 10,1 6 10,6 12
1 6 10 11,0.0262185,20.5933,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,11,1 11,N/A,N/A,N/A,6 10,6 11,1 6 11
1 6 10 11 13,0.0123278,28.7999,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,11,1 11,13,1 13,N/A,6 10,6 11,1 6 11
1 6 10 11 12,0.013626,29.0278,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,11,12,1 12,N/A,N/A,6 10,6 11,6 12
1 6 10 11 12 13,0.00679878,38.2433,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,N/A,10,11,12,13,1 13,N/A,6 10,6 11,6 12
1 6 9,0.0649291,11.4945,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,N/A,N/A,N/A,N/A,6 9,1 6 9,N/A,N/A
1 6 9 13,0.0241496,20.8428,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,N/A,N/A,13,1 13,6 9,1 6 9,N/A,N/A
1 6 9 12,0.0319005,19.0398,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,N/A,12,1 12,N/A,6 9,1 6 9,N/A,6 12
1 6 9 12 13,0.0121709,28.8894,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,N/A,12,13,1 13,6 9,1 6 9,N/A,6 12
1 6 9 11,0.0394293,17.514,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,11,1 11,N/A,N/A,6 9,1 6 9,6 11,1 6 11
1 6 9 11 13,0.0171325,25.2216,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,11,1 11,13,1 13,6 9,1 6 9,6 11,1 6 11
1 6 9 11 12,0.0190544,25.3737,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,11,12,1 12,N/A,6 9,1 6 9,6 11,6 12
1 6 9 11 12 13,0.00910805,33.9135,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,1 9,11,12,13,1 13,6 9,1 6 9,6 11,6 12
1 6 9 10,0.0376211,18.2758,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,1 10,N/A,N/A,N/A,6 9,6 10,1 6 10,N/A
1 6 9 10 13,0.0170929,26.3432,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,1 10,N/A,13,1 13,6 9,6 10,1 6 10,N/A
1 6 9 10 12,0.0220543,24.236,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,1 10,12,1 12,N/A,6 9,6 10,1 6 10,6 12
1 6 9 10 12 13,0.0104019,32.7264,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,1 10,12,13,1 13,6 9,6 10,1 6 10,6 12
1 6 9 10 11,0.0219098,25.0826,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,11,1 11,N/A,N/A,6 9,6 10,6 11,1 6 11
1 6 9 10 11 13,0.0121381,31.3286,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,11,1 11,13,1 13,6 9,6 10,6 11,1 6 11
1 6 9 10 11 12,0.0133165,31.9092,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,11,12,1 12,N/A,6 9,6 10,6 11,6 12
1 6 9 10 11 12 13,0.007723,39.2119,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,N/A,9,10,11,12,13,1 13,6 9,6 10,6 11,6 12
1 6 8,0.0835905,10.4923,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,N/A,N/A,N/A,6 8,1 6 8,N/A,N/A,N/A
1 6 8 13,0.0248271,20.9541,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,N/A,N/A,13,6 8,1 6 8,N/A,N/A,N/A
1 6 8 12,0.0396769,18.0378,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,N/A,12,1 12,6 8,1 6 8,N/A,N/A,6 12
1 6 8 12 13,0.0125946,29.2719,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,N/A,12,13,6 8,1 6 8,N/A,N/A,6 12
1 6 8 11,0.0478788,16.5241,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,11,1 11,N/A,6 8,1 6 8,N/A,6 11,1 6 11
1 6 8 11 13,0.0180149,25.6412,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,11,1 11,13,6 8,1 6 8,N/A,6 11,1 6 11
1 6 8 11 12,0.0222106,24.3881,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,11,12,1 12,6 8,1 6 8,N/A,6 11,6 12
1 6 8 11 12 13,0.0092479,34.7237,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,N/A,11,12,13,6 8,1 6 8,N/A,6 11,6 12
1 6 8 10,0.0555949,15.156,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,1 10,N/A,N/A,6 8,1 6 8,6 10,1 6 10,8 10
1 6 8 10 13,0.0207244,24.1472,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,1 10,N/A,13,6 8,1 6 8,6 10,1 6 10,8 10
1 6 8 10 12,0.0295626,20.6319,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,1 10,12,1 12,6 8,1 6 8,6 10,1 6 10,6 12
1 6 8 10 12 13,0.0122107,30.2743,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,1 10,12,13,6 8,1 6 8,6 10,1 6 10,6 12
1 6 8 10 11,0.0296342,21.4199,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,11,1 11,N/A,6 8,1 6 8,6 10,6 11,8 10
1 6 8 10 11 13,0.0141283,28.8171,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,11,1 11,13,6 8,1 6 8,6 10,6 11,8 10
1 6 8 10 11 12,0.017137,27.4692,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,11,12,1 12,6 8,1 6 8,6 10,6 11,6 12
1 6 8 10 11 12 13,0.00878726,36.2196,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,1 8,10,11,12,13,6 8,1 6 8,6 10,6 11,6 12
1 6 8 9,0.0506765,15.8982,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,N/A,N/A,N/A,6 8,6 9,1 6 9,8 9,1 8 9
1 6 8 9 13,0.0194784,25.2698,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,N/A,N/A,13,6 8,6 9,1 6 9,8 9,1 8 9
1 6 8 9 12,0.0282788,21.8105,Yes,N/A,N/A,N/A,N/A,N/A,6,1 6,8,9,1 9,N/A,12,1 12,6 8,6 9,1 6 9,8 9,6 12
