Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
8 9,0.036394,14.6343,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8 9,N/A
1 8 9 13,0.0200582,23.0926,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,N/A,13,1 13,N/A,N/A,8 9,1 8 9
1 8 9 12,0.0252653,21.287,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,12,1 12,N/A,N/A,N/A,8 9,1 8 9
8 9 13,0.00926462,25.7222,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A,13,N/A,N/A,N/A,8 9,N/A
8 9 12,0.0110293,24.5417,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,12,N/A,N/A,N/A,N/A,8 9,N/A
1 8 9 12 13,0.0105768,31.3241,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,12,13,1 13,N/A,N/A,8 9,1 8 9
1 8 9 11,0.02831,20.0741,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,1 11,N/A,N/A,N/A,N/A,8 9,1 8 9
8 9 11,0.0119117,23.5278,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,N/A,N/A,N/A,N/A,N/A,8 9,N/A
1 8 9 11 13,0.0135958,27.8426,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,1 11,13,1 13,N/A,N/A,8 9,1 8 9
8 9 12 13,0.0039766,35.1065,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,12,13,N/A,N/A,N/A,8 9,N/A
1 8 9 11 12,0.0144612,28.2037,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,12,1 12,N/A,N/A,N/A,8 9,1 8 9
8 9 11 13,0.00429473,34.0741,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,N/A,13,N/A,N/A,N/A,8 9,N/A
8 9 11 12,0.00511278,32.8565,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,11,12,N/A,N/A,N/A,N/A,8 9,N/A
1 8 9 11 12 13,0.00751531,36.7639,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,12,13,1 13,N/A,N/A,8 9,1 8 9
8 10 11 12 13,0.00220754,43.2546,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,12,13,N/A,N/A,N/A,N/A,8 10
1 8 9 10,0.0248137,21,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,N/A,N/A,N/A,N/A,N/A,8 9,8 10
8 9 10,0.0129833,22.5602,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,N/A,N/A,N/A,N/A,N/A,8 9,8 10
1 8 9 10 13,0.012417,29.2037,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,N/A,13,1 13,N/A,N/A,8 9,8 10
1 8 9 10 12,0.0154716,27.162,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,12,1 12,N/A,N/A,N/A,8 9,8 10
8 9 10 13,0.0046073,33.1157,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,N/A,13,N/A,N/A,N/A,8 9,8 10
8 9 10 12,0.00548488,31.8843,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,N/A,12,N/A,N/A,N/A,N/A,8 9,8 10
1 8 9 10 12 13,0.00794974,35.8472,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,12,13,1 13,N/A,N/A,8 9,8 10
