Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
1 8,0.134259,6.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,N/A
1 8 12,0.00745885,18.2222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,N/A,12
8,0.138889,6.88889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,N/A
1 8 11,0.0226337,16.4722,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,11,1 11
8 12,0.00771605,18.3611,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,N/A,12
1 8 11 12,0.00156464,28.1667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,N/A,11,12
1 8 10,0.0378086,14.6944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,N/A
1 8 10 12,0.00315072,26.1111,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,1 10,12
8 11,0.0154321,17.0278,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,N/A
8 11 12,0.00128601,28.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,N/A,11,12
8 10,0.0231481,15.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,N/A
1 8 10 11,0.00694444,24.9167,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,1 11
8 10 12,0.00192901,27.1944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,N/A,12
1 8 10 11 12,0.000664438,36.5833,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1 8,10,11,12
9 10 11,0.00308642,27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,N/A
9 10 11 12,0.000342936,38.3889,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,10,11,12
1 8 9,0.0406379,14.2778,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,N/A
1 8 9 12,0.00338649,25.6944,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,N/A,12
8 9,0.0308642,14.5278,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,N/A
1 8 9 11,0.00934499,23.6389,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,1 11
8 9 12,0.00257202,25.9722,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,N/A,N/A,12
1 8 9 11 12,0.000895443,35.4167,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,1 9,11,12
8 10 11,0.00385802,25.8333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,N/A
8 10 11 12,0.000428669,37.1667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,N/A,10,11,12
1 8 9 10,0.01241,22.9722,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,9,10,1 10,N/A
