Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
|   |   |   |   |   |   | 7 | 8 | 9 | 10 |,0.00514403,27.9493,N/A,N/A,N/A,N/A,N/A,N/A,7,8,9,10,N/A,N/A
| 1 |   |   |   | 5 |   |   |   |   |   |,0.157407,4.59259,N/A,N/A,N/A,N/A,5,1 5,N/A,N/A,N/A,N/A,N/A,N/A
|   |   |   |   | 5 |   |   |   |   |   |,0.111111,4.44444,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
| 1 |   |   |   | 5 |   |   |   |   | 10 |,0.0385802,12.7407,N/A,N/A,N/A,N/A,5,1 5,N/A,N/A,N/A,10,1 10,N/A
| 1 |   |   |   | 5 |   |   |   | 9 |   |,0.0534979,11.2305,N/A,N/A,N/A,N/A,5,1 5,N/A,N/A,9,1 9,N/A,N/A
|   |   |   |   | 5 |   |   |   | 9 |   |,0.0246914,12.2716,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,9,N/A,N/A,N/A
| 1 |   |   |   | 5 |   |   |   | 9 | 10 |,0.0151749,19.8024,N/A,N/A,N/A,N/A,5,1 5,N/A,N/A,9,10,1 10,N/A
|   |   |   |   | 5 |   |   |   |   | 10 |,0.0185185,13.4722,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,10,N/A,N/A
| 1 |   |   |   | 5 |   |   | 8 |   |   |,0.0684156,9.85134,N/A,N/A,N/A,N/A,5,1 5,N/A,8,1 8,N/A,N/A,N/A
|   |   |   |   | 5 |   |   | 8 |   |   |,0.0308642,11.1327,N/A,N/A,N/A,N/A,5,N/A,N/A,8,N/A,N/A,N/A,N/A
| 1 |   |   |   | 5 |   |   | 8 |   | 10 |,0.0222479,17.2302,N/A,N/A,N/A,N/A,5,1 5,N/A,8,1 8,10,1 10,N/A
| 1 |   |   |   | 5 |   |   | 8 | 9 |   |,0.026406,16.8045,N/A,N/A,N/A,N/A,5,1 5,N/A,8,9,1 9,N/A,N/A
|   |   |   |   | 5 |   |   | 8 | 9 |   |,0.0102881,18.6221,N/A,N/A,N/A,N/A,5,N/A,N/A,8,9,N/A,N/A,N/A
| 1 |   |   |   | 5 |   |   | 8 | 9 | 10 |,0.00980224,24.8327,N/A,N/A,N/A,N/A,5,1 5,N/A,8,9,10,1 10,N/A
|   |   |   |   | 5 |   |   |   | 9 | 10 |,0.00617284,21.0741,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,9,10,N/A,N/A
| 1 |   |   |   | 5 |   | 7 |   |   |   |,0.087963,8.26543,N/A,N/A,N/A,N/A,5,1 5,7,1 7,N/A,N/A,N/A,5 7
|   |   |   |   | 5 |   | 7 |   |   |   |,0.0648148,9.72222,N/A,N/A,N/A,N/A,5,N/A,7,N/A,N/A,N/A,N/A,5 7
| 1 |   |   |   | 5 |   | 7 |   |   | 10 |,0.0308642,15.446,N/A,N/A,N/A,N/A,5,1 5,7,1 7,N/A,10,1 10,5 7
| 1 |   |   |   | 5 |   | 7 |   | 9 |   |,0.0426955,13.6432,N/A,N/A,N/A,N/A,5,1 5,7,1 7,9,1 9,N/A,5 7
|   |   |   |   | 5 |   | 7 |   | 9 |   |,0.0185185,17.1019,N/A,N/A,N/A,N/A,5,N/A,7,N/A,9,N/A,N/A,5 7
| 1 |   |   |   | 5 |   | 7 |   | 9 | 10 |,0.0154107,21.2041,N/A,N/A,N/A,N/A,5,1 5,7,1 7,9,10,1 10,5 7
|   |   |   |   | 5 |   | 7 |   |   | 10 |,0.0138889,18.3951,N/A,N/A,N/A,N/A,5,N/A,7,N/A,N/A,10,N/A,5 7
| 1 |   |   |   | 5 |   | 7 | 8 |   |   |,0.0480967,13.5203,N/A,N/A,N/A,N/A,5,1 5,7,8,1 8,N/A,N/A,5 7
|   |   |   |   | 5 |   | 7 | 8 |   |   |,0.0231481,15.8832,N/A,N/A,N/A,N/A,5,N/A,7,8,N/A,N/A,N/A,5 7
| 1 |   |   |   | 5 |   | 7 | 8 |   | 10 |,0.020126,19.7075,N/A,N/A,N/A,N/A,5,1 5,7,8,1 8,10,1 10,5 7
| 1 |   |   |   | 5 |   | 7 | 8 | 9 |   |,0.0238483,19.4303,N/A,N/A,N/A,N/A,5,1 5,7,8,9,1 9,N/A,5 7
|   |   |   |   | 5 |   | 7 | 8 | 9 |   |,0.00943073,22.727,N/A,N/A,N/A,N/A,5,N/A,7,8,9,N/A,N/A,5 7
| 1 |   |   |   | 5 |   | 7 | 8 | 9 | 10 |,0.0107382,26.3562,N/A,N/A,N/A,N/A,5,1 5,7,8,9,10,1 10,5 7
|   |   |   |   | 5 |   |   | 8 |   | 10 |,0.00771605,19.893,N/A,N/A,N/A,N/A,5,N/A,N/A,8,N/A,10,N/A,N/A
|   |   |   |   | 5 |   |   | 8 | 9 | 10 |,0.00342936,27.0602,N/A,N/A,N/A,N/A,5,N/A,N/A,8,9,10,N/A,N/A
| 1 |   |   |   | 5 | 6 |   |   |   |   |,0.0985082,7.97788,N/A,N/A,N/A,N/A,5,6,1 6,N/A,N/A,N/A,5 6,1 5 6
|   |   |   |   | 5 | 6 |   |   |   |   |,0.0864198,8.83025,N/A,N/A,N/A,N/A,5,6,N/A,N/A,N/A,N/A,5 6,N/A
| 1 |   |   |   | 5 | 6 |   |   |   | 10 |,0.0289995,16.036,N/A,N/A,N/A,N/A,5,6,1 6,N/A,N/A,10,1 10,1 5 6
