Position,Win Probability,Average Score,Was Reached?,1,2,3,4,5,6,7,8,9,10,11,12
1 3 6 7,0.108025,7.66667,Yes,N/A,N/A,3,1 3,N/A,6,7,1 7,3 6,3 7,1 3 7,N/A
3 6 7,0.0679012,10.6111,Yes,N/A,N/A,3,N/A,N/A,6,7,N/A,3 6,3 7,N/A,N/A
1 3 6 7 9,0.0434885,13.6944,Yes,N/A,N/A,3,1 3,N/A,6,7,1 7,9,1 9,1 3 7,3 9
3 6 8 9,0.0163609,19.6111,Yes,N/A,N/A,3,N/A,N/A,6,N/A,8,9,N/A,3 8,3 9
1 3 6 7 8,0.0637789,11.9722,Yes,N/A,N/A,3,1 3,N/A,6,7,8,1 8,3 7,3 8,1 3 8
3 6 7 9,0.0211763,18.0278,Yes,N/A,N/A,3,N/A,N/A,6,7,N/A,9,3 7,N/A,3 9
3 6 7 8,0.0370799,14.75,Yes,N/A,N/A,3,N/A,N/A,6,7,8,3 6,3 7,3 8,N/A
1 3 6 7 8 9,0.0321772,17.9444,Yes,N/A,N/A,3,1 3,N/A,6,7,8,9,1 9,3 8,3 9
1 3 5,0.170267,4.41667,Yes,N/A,N/A,3,1 3,5,1 5,N/A,3 5,1 3 5,N/A,N/A,N/A
3 5,0.151235,6,Yes,N/A,N/A,3,N/A,5,N/A,N/A,3 5,N/A,N/A,N/A,N/A
1 3 5 9,0.0644719,10.6667,Yes,N/A,N/A,3,1 3,5,1 5,N/A,3 5,9,1 9,N/A,3 9
1 3 5 8,0.0768604,9.5,Yes,N/A,N/A,3,1 3,5,1 5,N/A,8,1 8,N/A,3 8,1 3 8
3 5 9,0.0411523,13.1111,Yes,N/A,N/A,3,N/A,5,N/A,N/A,3 5,9,N/A,N/A,3 9
3 5 8,0.0367798,12.7222,Yes,N/A,N/A,3,N/A,5,N/A,N/A,8,N/A,N/A,3 8,N/A
1 3 5 8 9,0.0349532,15.3333,Yes,N/A,N/A,3,1 3,5,1 5,N/A,8,9,1 9,3 8,3 9
1 3 5 7,0.129201,5.77778,Yes,N/A,N/A,3,1 3,5,1 5,7,3 5,1 3 5,3 7,1 3 7,5 7
3 5 7,0.0740741,9.61111,Yes,N/A,N/A,3,N/A,5,N/A,7,3 5,N/A,3 7,N/A,5 7
1 3 5 7 9,0.0582943,11.2778,Yes,N/A,N/A,3,1 3,5,1 5,7,3 5,9,1 9,1 3 7,3 9
3 5 8 9,0.0154035,19.25,Yes,N/A,N/A,3,N/A,5,N/A,N/A,8,9,N/A,3 8,3 9
1 3 5 7 8,0.0711639,9.88889,Yes,N/A,N/A,3,1 3,5,1 5,7,8,1 8,3 7,3 8,5 7
3 5 7 9,0.0288923,16,Yes,N/A,N/A,3,N/A,5,N/A,7,3 5,9,3 7,N/A,3 9
3 5 7 8,0.0313357,15.2778,Yes,N/A,N/A,3,N/A,5,N/A,7,8,N/A,3 7,3 8,5 7
1 3 5 7 8 9,0.0368472,15.4722,Yes,N/A,N/A,3,1 3,5,1 5,7,8,9,1 9,3 8,3 9
3 6 7 8 9,0.0156702,21.2222,Yes,N/A,N/A,3,N/A,N/A,6,7,8,9,3 7,3 8,3 9
